Substation Name,Nominal Voltage (kV),Primary Group,Grid Group,Firm Capacity (MVA),Maximum Load (MVA),Minimum Load (MVA),Generation Connected (MW),Generation Contracted (MW),33kV Overall Category,Overall Category,33kV Generation Capacity,33kV Wider Constraints,HV Reverse Power Flow,HV Generation Capacity,HV Fault Level,HV Wider Constraints,District,X,Y
NORTH ROAD,33/11,ABERYSTWYTH T1 / NORTH RD T1 / PARC-Y-LLYN T1 / PARC-Y-LLYN T2 / U C WALES T1,ABERYSTWYTH GT2 / RHYDLYDAN GT1,37.5,18.55,4.64,0.02,0.0,RED,RED,Red,Red,Amber,Green,Red,Amber,Dee Valley & Mid Wales,258666.891,281901.407
DICKINSONS,33/11,ACORNFIELD RD T1 / DICKINSONS T1 / HAMMOND RD T1 / KODAK T1,GILLMOSS GT1 / KIRKBY GT2 / SIMONSWOOD GT1,30.0,14.71,3.68,0.04,0.0,RED,RED,Green,Red,Amber,Green,Red,Amber,Merseyside,342713.824,398255.232
WAVERTREE,33/11,AIGBURTH VALE T1 / IVY AVE T1 / MATHER AVE T1 / MOSSLEY HILL T1 / WAVERTREE T1,GARSTON GT2 / SPEKE GT3 / WAVERTREE GT1A,37.5,18.97,4.74,0.0,0.0,AMBER,RED,Green,Amber,Amber,Green,Red,Amber,Merseyside,339018.8312,388483.665
AINTREE,33/11,AINTREE LOCAL T1 / OLD ROAN T1 / WANGO LA T1,AINTREE GT2 / FAZAKERLEY GT1 / GILLMOSS GT2,20.0,11.67,2.92,0.0,0.0,RED,AMBER,Green,Red,Amber,Amber,Amber,Amber,Merseyside,336740.448,398306.688
ANDERTON,33/11,ANDERTON T1,HARTFORD GT1 / LOSTOCK GT2 / WINSFORD GT1 / WINSFORD GT2,7.5,2.61,0.65,0.22,0.0,RED,RED,Green,Red,Red,Red,Green,Amber,Mid Cheshire,364880.5897,375727.2788
WOODCHURCH,33/11,ARROWE PK HOSP T1 / CHAMPION PLUGS T1 / CHAMPION PLUGS T2 / WOODCHURCH T1,HESWALL GT1 / HOYLAKE GT2 / PRENTON GRID GT3,30.0,9.25,2.31,2.3,0.0,RED,RED,Green,Red,Red,Amber,Red,Amber,Wirral,327658.748,386992.035
WAVERTREE VALE,33/6.3,ARUNDEL T1 / GROVE PK T1 / WAVERTREE VALE T1,LISTER DV B GT3 / SPARLING ST GT1 / WAVERTREE GT2,17.5,10.12,2.53,0.0,0.0,AMBER,RED,Green,Amber,Amber,Amber,Red,Amber,Merseyside,337981.952,389512.576
WARRINGTON CENTRAL,33/11,BARBAULD ST T1 / HORROCKS LA T1 / WARRINGTON CENTRAL T1,DALLAM GT1 / SANKEY BRIDGES GT1 / WARRINGTON GT3,20.0,8.64,2.16,0.0,0.0,RED,AMBER,Green,Red,Amber,Amber,Amber,Amber,Mid Cheshire,360507.186,388387.008
BASCHURCH,33/11,BASCHURCH T1,OSWESTRY GT5 / WHITCHURCH GT1,7.5,5.76,1.44,6.96,0.05,RED,RED,Red,Red,Green,Red,Green,Amber,Dee Valley & Mid Wales,342255.391,323439.047
BASS CHARRINGTON,33/11,BASS CHARRINGTON T1 / BASS CHARRINGTON T2 / CLIFTON T1 / YKK T1,DUTTON GT2 / MOORE GT1 / PERCIVAL LA GT1,30.0,15.81,3.95,2.2,0.0,RED,RED,Green,Red,Red,Amber,Red,Amber,Wirral,356612.4456,379691.0735
LARK LANE,33/11,BEAUMONT ST T1 / DINGLE VALE T1 / LARK LA T1 / MDHB BRUNSWICK DOCK T1,LISTER DV B GT3 / SPARLING ST GT1 / WAVERTREE GT2,30.0,20.86,5.21,1.6,0.0,AMBER,RED,Green,Amber,Red,Green,Red,Amber,Merseyside,337278.912,387620.384
BLUEBELL LANE,33/11,BEDBURN DV T1 / BLUEBELL LA T1 / BROOKBRIDGE T1 / ECCLESTON T1,GATEACRE GT1 / HUYTON GT1 / KIRKBY GT3 / PRESCOT GT1A,30.0,17.07,4.27,3.72,0.0,RED,RED,Green,Red,Red,Amber,Red,Amber,Merseyside,344063.65,391855.362
ECCLESTON,33/11,BEDBURN DV T1 / BLUEBELL LA T1 / BROOKBRIDGE T1 / ECCLESTON T1,GATEACRE GT1 / HUYTON GT1 / KIRKBY GT3 / PRESCOT GT1A,30.0,17.07,4.27,3.72,0.0,RED,RED,Green,Red,Red,Amber,Red,Amber,Merseyside,347352.576,393313.376
LUCAS FAZAKERLEY,33/11,BEMROSE T1 / CARR LA EAST T1 / LUCAS (FAZAKERLEY) T1 / NORRIS GREEN T1 / WEST DERBY T1,AINTREE GT2 / FAZAKERLEY GT1 / GILLMOSS GT2,37.5,19.29,4.82,0.0,0.0,RED,RED,Green,Red,Amber,Green,Red,Amber,Merseyside,337586.56,395684.64
WEST DERBY,33/11,BEMROSE T1 / CARR LA EAST T1 / LUCAS (FAZAKERLEY) T1 / NORRIS GREEN T1 / WEST DERBY T1,AINTREE GT2 / FAZAKERLEY GT1 / GILLMOSS GT2,37.5,19.29,4.82,0.0,0.0,RED,RED,Green,Red,Amber,Green,Red,Amber,Merseyside,339511.52,392852.192
BEWSEY,33/11,BEWSEY T1 / OWEN ST T1 / RODNEY ST T1 / RYLANDS ELDON ST T1,DALLAM GT1 / SANKEY BRIDGES GT1 / WARRINGTON GT3,30.0,15.87,3.97,0.21,4.05,RED,RED,Green,Red,Red,Red,Red,Amber,Mid Cheshire,359296.352,389073.088
OWEN STREET,33/11,BEWSEY T1 / OWEN ST T1 / RODNEY ST T1 / RYLANDS ELDON ST T1,DALLAM GT1 / SANKEY BRIDGES GT1 / WARRINGTON GT3,30.0,15.87,3.97,0.21,4.05,RED,RED,Green,Red,Red,Red,Red,Amber,Mid Cheshire,360357.569,389134.741
SCARISBRICK AVENUE,33/11,BOOTLE GRID T2 / ORRELL MOUNT T1 / SCARISBRICK AVE T1 / TATTON RD T1,BOOTLE GT1 / LITHERLAND GT1A,30.0,15.28,3.82,0.0,0.0,RED,RED,Green,Red,Amber,Green,Red,Amber,Merseyside,333700.938,397181.575
MOBIL OIL,33/11,BOWATER CONTAINERS T1 / ELLESMERE PORT LOCAL T1 / HH ROBERTSONS T1 / MOBIL OIL (E PORT) T1 / WHITBY T1,BROMBOROUGH GT2 / ELLESMERE PORT GT1 / HOOTON PK GT1A / HOOTON PK GT2A,25.5,18.22,4.56,2.5,0.0,RED,RED,Green,Red,Red,Amber,Red,Amber,Wirral,339100.48,378095.04
MIDLAND ROLLMAKERS,33/11,BR STATION T1 / DUCHY RD T1 / ELECTRA WAY T1 / MIDLAND ROLLMAKERS T1A / NORTH WESTERN MILLS T1,COPPENHALL GT1 / CREWE GT1 / CREWE GT2A / CREWE GT4A / RADWAY GREEN GT1 / RADWAY GREEN GT2 / WHITCHURCH GT2,37.5,24.27,6.07,1.01,0.24,RED,RED,Green,Red,Red,Green,Red,Amber,Mid Cheshire,371379.942,354172.868
NORTH WESTERN MILLS,33/11,BR STATION T1 / DUCHY RD T1 / ELECTRA WAY T1 / MIDLAND ROLLMAKERS T1A / NORTH WESTERN MILLS T1,COPPENHALL GT1 / CREWE GT1 / CREWE GT2A / CREWE GT4A / RADWAY GREEN GT1 / RADWAY GREEN GT2 / WHITCHURCH GT2,37.5,24.27,6.07,1.01,0.24,RED,RED,Green,Red,Red,Green,Red,Amber,Mid Cheshire,370714.208,353723.264
B R D,33/11,BRD T1,LEGACY LOCAL GT2 / NEWTOWN GT2 / OSWESTRY GT8 / WELSHPOOL GT1,7.5,5.26,1.31,0.96,0.0,RED,RED,Red,Red,Red,Red,Green,Amber,Dee Valley & Mid Wales,312009.6831,291775.3478
BRYN STANLEY,33/11,BRYN STANLEY T1 / DENBIGH T1,HOLYWELL GT1 / RHYL GT1 / ST ASAPH GT2 / ST ASAPH GT4,10.0,5.6,1.4,0.5,0.0,RED,RED,Red,Red,Red,Red,Green,Amber,North Wales,304655.516,365687.627
