﻿Substation Name,Nominal Voltage (kV),Supergrid Group,Generation Connected (MW),Generation Contracted (MW),Overall Category,District,X,Y
CUERDLEY,275/132,CARRINGTON - FIDDLERS FERRY,319.86,201.82,RED,Merseyside,354276.1256,386149.3722
ST ASAPH,400/132,CONNAHS QUAY - PENTIR - ST ASAPH,399.18,470.42,RED,North Wales,302107.1498,374226.2423
TRAWSFYNYDD,275/132,TRAWSFYNYDD,114.92,5.11,AMBER,North Wales,268965.13,338612.779
BIRKENHEAD,275/132,BIRKENHEAD,147.16,279.62,RED,Wirral,329447.9271,386080.0892
FRODSHAM,275/132,FRODSHAM - INCE,305.61,1264.77,RED,Wirral,352273.066,379450.707
INCE,275/132,FRODSHAM - INCE,305.61,1264.77,RED,Wirral,345982.0447,375939.7006
KIRKBY,275/132,KIRKBY,69.02,241.01,RED,Merseyside,343706.343,397295.976
PENTIR,400/132,CONNAHS QUAY - PENTIR - ST ASAPH,399.18,470.42,RED,North Wales,255800.592,367711.216
RAINHILL,275/132,RAINHILL,215.68,53.74,RED,Merseyside,351020.0,391848.0
CAPENHURST,275/132,CAPENHURST,102.03,1119.41,RED,Wirral,336791.531,374875.018
CONNAHS QUAY,400/132,CONNAHS QUAY - PENTIR - ST ASAPH,399.18,470.42,RED,Dee Valley & Mid Wales,328481.125,370529.128
CREWE,400/132,CELLARHEAD,26.65,125.72,RED,Mid Cheshire,367639.456,356360.224
LEGACY,400/132,LEGACY,341.93,317.29,RED,Dee Valley & Mid Wales,329447.848,348324.8
LISTER DRIVE,275/132,LISTER DRIVE,54.16,49.6,AMBER,Merseyside,338331.194,391809.339
WYLFA,400/132,WYLFA,138.25,54.2,AMBER,North Wales,235123.963,393626.97
